[ 2025-12-07 22:32:56,674 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-12-07 22:33:04,300 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-07 22:35:11,068 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-07 22:35:11,069 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-07 22:35:11,069 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-07 22:35:11,153 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-07 22:35:11,155 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-07 22:35:11,185 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-07 22:35:11,342 ] 32 root - INFO - Required number of columns:2
[ 2025-12-07 22:35:11,342 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-07 22:35:11,342 ] 32 root - INFO - Required number of columns:2
[ 2025-12-07 22:35:11,343 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-07 22:35:11,547 ] 28 root - INFO - data Validation Completed
[ 2025-12-07 22:35:11,547 ] 31 root - INFO - data Transformation started
[ 2025-12-07 22:35:11,547 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-07 22:35:11,547 ] 65 root - INFO - Starting data transformation
[ 2025-12-07 22:35:11,590 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-07 22:35:11,591 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-07 22:35:11,612 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-07 22:35:11,617 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-07 22:35:11,617 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-07 22:35:11,620 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-07 22:35:11,622 ] 35 root - INFO - data Transformation completed
[ 2025-12-07 22:35:11,622 ] 37 root - INFO - Model Training sstared
