[ 2025-09-18 09:22:03,691 ] 20 root - INFO - Initiate the data ingestion
[ 2025-09-18 09:22:08,146 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-18 09:22:08,146 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-18 09:22:08,146 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-18 09:22:08,207 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-18 09:22:08,209 ] 22 root - INFO - Data Initiation Completed
[ 2025-09-18 09:22:08,230 ] 26 root - INFO - Initiate the data Validation
[ 2025-09-18 09:22:08,304 ] 32 root - INFO - Required number of columns:2
[ 2025-09-18 09:22:08,305 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-18 09:22:08,305 ] 32 root - INFO - Required number of columns:2
[ 2025-09-18 09:22:08,305 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-18 09:22:08,482 ] 28 root - INFO - data Validation Completed
[ 2025-09-18 09:22:08,482 ] 31 root - INFO - data Transformation started
[ 2025-09-18 09:22:08,482 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-18 09:22:08,482 ] 65 root - INFO - Starting data transformation
[ 2025-09-18 09:22:08,513 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-09-18 09:22:08,513 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-18 09:22:08,530 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-18 09:22:08,534 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-18 09:22:08,535 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-18 09:22:08,538 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-18 09:22:08,539 ] 35 root - INFO - data Transformation completed
[ 2025-09-18 09:22:08,539 ] 37 root - INFO - Model Training sstared
